value,count
13,2
14,1
15,6
16,22
17,38
18,104
19,133
20,203
21,235
22,247
23,250
24,196
25,160
26,118
27,88
28,62
29,50
30,41
31,18
32,11
33,9
34,3
36,1
38,1
40,1
