value,count
9,1
10,3
11,20
12,54
13,86
14,135
15,179
16,185
17,213
18,228
19,188
20,146
21,115
22,109
23,86
24,60
25,34
26,32
27,30
28,18
29,12
30,9
31,16
32,4
33,3
34,3
35,3
36,3
37,1
38,1
39,1
41,1
42,2
44,1
49,18
