sides,defector,cooperator,radio,pay,factor,tolerance,info_seed,info_generations,status_undetermined
30,0.2,0.8,1,1,1.3,28,0,7,True
30,0.2,0.8,1,1,1.3,28,1,8,True
30,0.2,0.8,1,1,1.3,28,2,3,True
30,0.2,0.8,1,1,1.3,28,3,3,True
30,0.2,0.8,1,1,1.3,28,4,6,True
30,0.2,0.8,1,1,1.3,28,5,8,True
30,0.2,0.8,1,1,1.3,28,6,8,True
30,0.2,0.8,1,1,1.3,28,7,6,True
30,0.2,0.8,1,1,1.3,28,8,10,True
30,0.2,0.8,1,1,1.3,28,9,4,True
30,0.2,0.8,1,1,1.3,28,10,5,True
30,0.2,0.8,1,1,1.3,28,11,6,True
30,0.2,0.8,1,1,1.3,28,12,9,True
30,0.2,0.8,1,1,1.3,28,13,12,True
30,0.2,0.8,1,1,1.3,28,14,6,True
30,0.2,0.8,1,1,1.3,28,15,6,True
30,0.2,0.8,1,1,1.3,28,16,5,True
30,0.2,0.8,1,1,1.3,28,17,11,True
30,0.2,0.8,1,1,1.3,28,18,5,True
30,0.2,0.8,1,1,1.3,28,19,5,True
30,0.2,0.8,1,1,1.3,28,20,3,True
30,0.2,0.8,1,1,1.3,28,21,4,True
30,0.2,0.8,1,1,1.3,28,22,8,True
30,0.2,0.8,1,1,1.3,28,23,10,True
30,0.2,0.8,1,1,1.3,28,24,4,True
30,0.2,0.8,1,1,1.3,28,25,7,True
30,0.2,0.8,1,1,1.3,28,26,4,True
30,0.2,0.8,1,1,1.3,28,27,5,True
30,0.2,0.8,1,1,1.3,28,28,9,True
30,0.2,0.8,1,1,1.3,28,29,4,True
30,0.2,0.8,1,1,1.3,28,30,8,True
30,0.2,0.8,1,1,1.3,28,31,6,True
30,0.2,0.8,1,1,1.3,28,32,5,True
30,0.2,0.8,1,1,1.3,28,33,4,True
30,0.2,0.8,1,1,1.3,28,34,8,True
30,0.2,0.8,1,1,1.3,28,35,6,True
30,0.2,0.8,1,1,1.3,28,36,4,True
30,0.2,0.8,1,1,1.3,28,37,8,True
30,0.2,0.8,1,1,1.3,28,38,6,True
30,0.2,0.8,1,1,1.3,28,39,2,True
30,0.2,0.8,1,1,1.3,28,40,3,True
30,0.2,0.8,1,1,1.3,28,41,5,True
30,0.2,0.8,1,1,1.3,28,42,5,True
30,0.2,0.8,1,1,1.3,28,43,4,True
30,0.2,0.8,1,1,1.3,28,44,5,True
30,0.2,0.8,1,1,1.3,28,45,9,True
30,0.2,0.8,1,1,1.3,28,46,13,True
30,0.2,0.8,1,1,1.3,28,47,7,True
30,0.2,0.8,1,1,1.3,28,48,4,True
30,0.2,0.8,1,1,1.3,28,49,6,True
30,0.2,0.8,1,1,1.3,28,50,6,True
30,0.2,0.8,1,1,1.3,28,51,5,True
30,0.2,0.8,1,1,1.3,28,52,8,True
30,0.2,0.8,1,1,1.3,28,53,3,True
30,0.2,0.8,1,1,1.3,28,54,4,True
30,0.2,0.8,1,1,1.3,28,55,14,True
30,0.2,0.8,1,1,1.3,28,56,11,True
30,0.2,0.8,1,1,1.3,28,57,4,True
30,0.2,0.8,1,1,1.3,28,58,16,True
30,0.2,0.8,1,1,1.3,28,59,10,True
30,0.2,0.8,1,1,1.3,28,60,6,True
30,0.2,0.8,1,1,1.3,28,61,12,True
30,0.2,0.8,1,1,1.3,28,62,7,True
30,0.2,0.8,1,1,1.3,28,63,5,True
30,0.2,0.8,1,1,1.3,28,64,5,True
30,0.2,0.8,1,1,1.3,28,65,8,True
30,0.2,0.8,1,1,1.3,28,66,8,True
30,0.2,0.8,1,1,1.3,28,67,6,True
30,0.2,0.8,1,1,1.3,28,68,4,True
30,0.2,0.8,1,1,1.3,28,69,5,True
30,0.2,0.8,1,1,1.3,28,70,6,True
30,0.2,0.8,1,1,1.3,28,71,8,True
30,0.2,0.8,1,1,1.3,28,72,2,True
30,0.2,0.8,1,1,1.3,28,73,16,True
30,0.2,0.8,1,1,1.3,28,74,6,True
30,0.2,0.8,1,1,1.3,28,75,14,True
30,0.2,0.8,1,1,1.3,28,76,12,True
30,0.2,0.8,1,1,1.3,28,77,8,True
