sides,defector,cooperator,radio,pay,factor,tolerance,info_seed,info_generations,status_undetermined
50,0.2,0.8,1,1,1.3,43,0,3,True
50,0.2,0.8,1,1,1.3,43,1,4,True
50,0.2,0.8,1,1,1.3,43,2,3,True
50,0.2,0.8,1,1,1.3,43,3,1,True
50,0.2,0.8,1,1,1.3,43,4,4,True
50,0.2,0.8,1,1,1.3,43,5,2,True
50,0.2,0.8,1,1,1.3,43,6,1,True
50,0.2,0.8,1,1,1.3,43,7,3,True
50,0.2,0.8,1,1,1.3,43,8,2,True
50,0.2,0.8,1,1,1.3,43,9,2,True
50,0.2,0.8,1,1,1.3,43,10,3,True
50,0.2,0.8,1,1,1.3,43,11,1,True
50,0.2,0.8,1,1,1.3,43,12,3,True
50,0.2,0.8,1,1,1.3,43,13,3,True
50,0.2,0.8,1,1,1.3,43,14,2,True
50,0.2,0.8,1,1,1.3,43,15,3,True
50,0.2,0.8,1,1,1.3,43,16,4,True
50,0.2,0.8,1,1,1.3,43,17,1,True
50,0.2,0.8,1,1,1.3,43,18,4,True
50,0.2,0.8,1,1,1.3,43,19,2,True
50,0.2,0.8,1,1,1.3,43,20,3,True
50,0.2,0.8,1,1,1.3,43,21,3,True
50,0.2,0.8,1,1,1.3,43,22,4,True
50,0.2,0.8,1,1,1.3,43,23,3,True
50,0.2,0.8,1,1,1.3,43,24,2,True
50,0.2,0.8,1,1,1.3,43,25,2,True
50,0.2,0.8,1,1,1.3,43,26,2,True
50,0.2,0.8,1,1,1.3,43,27,2,True
50,0.2,0.8,1,1,1.3,43,28,2,True
50,0.2,0.8,1,1,1.3,43,29,5,True
50,0.2,0.8,1,1,1.3,43,30,2,True
50,0.2,0.8,1,1,1.3,43,31,4,True
50,0.2,0.8,1,1,1.3,43,32,3,True
50,0.2,0.8,1,1,1.3,43,33,3,True
50,0.2,0.8,1,1,1.3,43,34,2,True
50,0.2,0.8,1,1,1.3,43,35,1,True
50,0.2,0.8,1,1,1.3,43,36,3,True
50,0.2,0.8,1,1,1.3,43,37,3,True
50,0.2,0.8,1,1,1.3,43,38,2,True
50,0.2,0.8,1,1,1.3,43,39,2,True
50,0.2,0.8,1,1,1.3,43,40,3,True
50,0.2,0.8,1,1,1.3,43,41,2,True
50,0.2,0.8,1,1,1.3,43,42,2,True
50,0.2,0.8,1,1,1.3,43,43,1,True
50,0.2,0.8,1,1,1.3,43,44,4,True
50,0.2,0.8,1,1,1.3,43,45,3,True
