sides,defector,cooperator,radio,pay,factor,tolerance,info_seed,info_generations,status_undetermined
50,0.2,0.8,1,1,1.5,0,0,21,False
50,0.2,0.8,1,1,1.5,0,1,23,False
50,0.2,0.8,1,1,1.5,0,2,19,False
50,0.2,0.8,1,1,1.5,0,3,28,False
50,0.2,0.8,1,1,1.5,0,4,18,False
50,0.2,0.8,1,1,1.5,0,5,29,False
50,0.2,0.8,1,1,1.5,0,6,26,False
50,0.2,0.8,1,1,1.5,0,7,20,False
50,0.2,0.8,1,1,1.5,0,8,24,False
50,0.2,0.8,1,1,1.5,0,9,27,False
50,0.2,0.8,1,1,1.5,0,10,20,False
50,0.2,0.8,1,1,1.5,0,11,26,False
50,0.2,0.8,1,1,1.5,0,12,27,False
50,0.2,0.8,1,1,1.5,0,13,21,False
50,0.2,0.8,1,1,1.5,0,14,26,False
50,0.2,0.8,1,1,1.5,0,15,29,False
50,0.2,0.8,1,1,1.5,0,16,28,False
50,0.2,0.8,1,1,1.5,0,17,22,False
50,0.2,0.8,1,1,1.5,0,18,24,False
50,0.2,0.8,1,1,1.5,0,19,24,False
50,0.2,0.8,1,1,1.5,0,20,23,False
50,0.2,0.8,1,1,1.5,0,21,28,False
50,0.2,0.8,1,1,1.5,0,22,23,False
50,0.2,0.8,1,1,1.5,0,23,25,False
50,0.2,0.8,1,1,1.5,0,24,26,False
50,0.2,0.8,1,1,1.5,0,25,22,False
50,0.2,0.8,1,1,1.5,0,26,21,False
50,0.2,0.8,1,1,1.5,0,27,21,False
50,0.2,0.8,1,1,1.5,0,28,20,False
50,0.2,0.8,1,1,1.5,0,29,22,False
50,0.2,0.8,1,1,1.5,0,30,29,False
50,0.2,0.8,1,1,1.5,0,31,20,False
50,0.2,0.8,1,1,1.5,0,32,19,False
50,0.2,0.8,1,1,1.5,0,33,23,False
50,0.2,0.8,1,1,1.5,0,34,24,False
50,0.2,0.8,1,1,1.5,0,35,28,False
50,0.2,0.8,1,1,1.5,0,36,27,False
50,0.2,0.8,1,1,1.5,0,37,23,False
50,0.2,0.8,1,1,1.5,0,38,28,False
50,0.2,0.8,1,1,1.5,0,39,26,False
50,0.2,0.8,1,1,1.5,0,40,30,False
50,0.2,0.8,1,1,1.5,0,41,23,False
50,0.2,0.8,1,1,1.5,0,42,22,False
50,0.2,0.8,1,1,1.5,0,43,25,False
50,0.2,0.8,1,1,1.5,0,44,24,False
50,0.2,0.8,1,1,1.5,0,45,24,False
50,0.2,0.8,1,1,1.5,0,46,29,False
50,0.2,0.8,1,1,1.5,0,47,30,False
50,0.2,0.8,1,1,1.5,0,48,23,False
50,0.2,0.8,1,1,1.5,0,49,25,False
50,0.2,0.8,1,1,1.5,0,50,25,False
50,0.2,0.8,1,1,1.5,0,51,21,False
50,0.2,0.8,1,1,1.5,0,52,27,False
50,0.2,0.8,1,1,1.5,0,53,27,False
50,0.2,0.8,1,1,1.5,0,54,23,False
50,0.2,0.8,1,1,1.5,0,55,26,False
50,0.2,0.8,1,1,1.5,0,56,20,False
50,0.2,0.8,1,1,1.5,0,57,21,False
50,0.2,0.8,1,1,1.5,0,58,24,False
50,0.2,0.8,1,1,1.5,0,59,20,False
50,0.2,0.8,1,1,1.5,0,60,28,False
50,0.2,0.8,1,1,1.5,0,61,25,False
50,0.2,0.8,1,1,1.5,0,62,22,False
50,0.2,0.8,1,1,1.5,0,63,24,False
50,0.2,0.8,1,1,1.5,0,64,24,False
50,0.2,0.8,1,1,1.5,0,65,23,False
50,0.2,0.8,1,1,1.5,0,66,20,False
50,0.2,0.8,1,1,1.5,0,67,21,False
50,0.2,0.8,1,1,1.5,0,68,22,False
50,0.2,0.8,1,1,1.5,0,69,23,False
50,0.2,0.8,1,1,1.5,0,70,22,False
50,0.2,0.8,1,1,1.5,0,71,23,False
50,0.2,0.8,1,1,1.5,0,72,28,False
50,0.2,0.8,1,1,1.5,0,73,27,False
50,0.2,0.8,1,1,1.5,0,74,25,False
