sides,defector,cooperator,radio,pay,factor,tolerance,info_seed,info_generations
50,0.2,0.8,1,1,2,67,0,21
50,0.2,0.8,1,1,2,67,1,23
50,0.2,0.8,1,1,2,67,2,19
50,0.2,0.8,1,1,2,67,3,28
50,0.2,0.8,1,1,2,67,4,18
50,0.2,0.8,1,1,2,67,5,29
50,0.2,0.8,1,1,2,67,6,26
50,0.2,0.8,1,1,2,67,7,20
50,0.2,0.8,1,1,2,67,8,24
50,0.2,0.8,1,1,2,67,9,27
50,0.2,0.8,1,1,2,67,10,20
50,0.2,0.8,1,1,2,67,11,26
50,0.2,0.8,1,1,2,67,12,27
50,0.2,0.8,1,1,2,67,13,21
50,0.2,0.8,1,1,2,67,14,26
50,0.2,0.8,1,1,2,67,15,29
50,0.2,0.8,1,1,2,67,16,28
50,0.2,0.8,1,1,2,67,17,22
50,0.2,0.8,1,1,2,67,18,24
50,0.2,0.8,1,1,2,67,19,24
50,0.2,0.8,1,1,2,67,20,23
50,0.2,0.8,1,1,2,67,21,28
50,0.2,0.8,1,1,2,67,22,23
50,0.2,0.8,1,1,2,67,23,25
50,0.2,0.8,1,1,2,67,24,26
50,0.2,0.8,1,1,2,67,25,22
50,0.2,0.8,1,1,2,67,26,21
50,0.2,0.8,1,1,2,67,27,21
50,0.2,0.8,1,1,2,67,28,20
50,0.2,0.8,1,1,2,67,29,22
50,0.2,0.8,1,1,2,67,30,29
50,0.2,0.8,1,1,2,67,31,20
50,0.2,0.8,1,1,2,67,32,19
50,0.2,0.8,1,1,2,67,33,23
50,0.2,0.8,1,1,2,67,34,24
50,0.2,0.8,1,1,2,67,35,28
50,0.2,0.8,1,1,2,67,36,27
50,0.2,0.8,1,1,2,67,37,23
50,0.2,0.8,1,1,2,67,38,28
50,0.2,0.8,1,1,2,67,39,26
50,0.2,0.8,1,1,2,67,40,30
50,0.2,0.8,1,1,2,67,41,23
50,0.2,0.8,1,1,2,67,42,22
50,0.2,0.8,1,1,2,67,43,25
50,0.2,0.8,1,1,2,67,44,24
50,0.2,0.8,1,1,2,67,45,24
50,0.2,0.8,1,1,2,67,46,29
50,0.2,0.8,1,1,2,67,47,30
50,0.2,0.8,1,1,2,67,48,23
50,0.2,0.8,1,1,2,67,49,25
50,0.2,0.8,1,1,2,67,50,25
50,0.2,0.8,1,1,2,67,51,21
50,0.2,0.8,1,1,2,67,52,27
50,0.2,0.8,1,1,2,67,53,27
50,0.2,0.8,1,1,2,67,54,23
50,0.2,0.8,1,1,2,67,55,26
50,0.2,0.8,1,1,2,67,56,20
50,0.2,0.8,1,1,2,67,57,21
50,0.2,0.8,1,1,2,67,58,24
50,0.2,0.8,1,1,2,67,59,20
50,0.2,0.8,1,1,2,67,60,28
50,0.2,0.8,1,1,2,67,61,25
50,0.2,0.8,1,1,2,67,62,22
50,0.2,0.8,1,1,2,67,63,24
50,0.2,0.8,1,1,2,67,64,24
50,0.2,0.8,1,1,2,67,65,23
50,0.2,0.8,1,1,2,67,66,20
50,0.2,0.8,1,1,2,67,67,21
50,0.2,0.8,1,1,2,67,68,22
50,0.2,0.8,1,1,2,67,69,23
50,0.2,0.8,1,1,2,67,70,22
50,0.2,0.8,1,1,2,67,71,23
50,0.2,0.8,1,1,2,67,72,28
50,0.2,0.8,1,1,2,67,73,27
50,0.2,0.8,1,1,2,67,74,25
50,0.2,0.8,1,1,2,67,75,18
50,0.2,0.8,1,1,2,67,76,19
50,0.2,0.8,1,1,2,67,77,29
50,0.2,0.8,1,1,2,67,78,25
50,0.2,0.8,1,1,2,67,79,25
50,0.2,0.8,1,1,2,67,80,28
50,0.2,0.8,1,1,2,67,81,22
50,0.2,0.8,1,1,2,67,82,26
50,0.2,0.8,1,1,2,67,83,21
50,0.2,0.8,1,1,2,67,84,25
