sides,defector,cooperator,radio,pay,factor,tolerance,info_seed,info_generations
10,0.2,0.8,1,1,3.5,5,0,8
10,0.2,0.8,1,1,3.5,5,1,9
10,0.2,0.8,1,1,3.5,5,2,13
10,0.2,0.8,1,1,3.5,5,3,49
10,0.2,0.8,1,1,3.5,5,4,14
10,0.2,0.8,1,1,3.5,5,5,9
10,0.2,0.8,1,1,3.5,5,6,15
10,0.2,0.8,1,1,3.5,5,7,49
10,0.2,0.8,1,1,3.5,5,8,49
10,0.2,0.8,1,1,3.5,5,9,9
10,0.2,0.8,1,1,3.5,5,10,49
10,0.2,0.8,1,1,3.5,5,11,14
10,0.2,0.8,1,1,3.5,5,12,11
10,0.2,0.8,1,1,3.5,5,13,15
10,0.2,0.8,1,1,3.5,5,14,10
10,0.2,0.8,1,1,3.5,5,15,11
10,0.2,0.8,1,1,3.5,5,16,11
10,0.2,0.8,1,1,3.5,5,17,9
10,0.2,0.8,1,1,3.5,5,18,49
10,0.2,0.8,1,1,3.5,5,19,9
10,0.2,0.8,1,1,3.5,5,20,11
10,0.2,0.8,1,1,3.5,5,21,49
10,0.2,0.8,1,1,3.5,5,22,11
10,0.2,0.8,1,1,3.5,5,23,11
10,0.2,0.8,1,1,3.5,5,24,49
10,0.2,0.8,1,1,3.5,5,25,11
10,0.2,0.8,1,1,3.5,5,26,49
10,0.2,0.8,1,1,3.5,5,27,14
10,0.2,0.8,1,1,3.5,5,28,11
10,0.2,0.8,1,1,3.5,5,29,49
10,0.2,0.8,1,1,3.5,5,30,12
10,0.2,0.8,1,1,3.5,5,31,14
10,0.2,0.8,1,1,3.5,5,32,49
10,0.2,0.8,1,1,3.5,5,33,13
10,0.2,0.8,1,1,3.5,5,34,9
10,0.2,0.8,1,1,3.5,5,35,12
10,0.2,0.8,1,1,3.5,5,36,49
10,0.2,0.8,1,1,3.5,5,37,26
10,0.2,0.8,1,1,3.5,5,38,49
10,0.2,0.8,1,1,3.5,5,39,49
10,0.2,0.8,1,1,3.5,5,40,7
10,0.2,0.8,1,1,3.5,5,41,13
10,0.2,0.8,1,1,3.5,5,42,8
10,0.2,0.8,1,1,3.5,5,43,49
10,0.2,0.8,1,1,3.5,5,44,9
10,0.2,0.8,1,1,3.5,5,45,10
10,0.2,0.8,1,1,3.5,5,46,9
10,0.2,0.8,1,1,3.5,5,47,19
10,0.2,0.8,1,1,3.5,5,48,10
10,0.2,0.8,1,1,3.5,5,49,49
10,0.2,0.8,1,1,3.5,5,50,49
10,0.2,0.8,1,1,3.5,5,51,9
10,0.2,0.8,1,1,3.5,5,52,49
10,0.2,0.8,1,1,3.5,5,53,49
10,0.2,0.8,1,1,3.5,5,54,8
10,0.2,0.8,1,1,3.5,5,55,17
10,0.2,0.8,1,1,3.5,5,56,11
10,0.2,0.8,1,1,3.5,5,57,12
10,0.2,0.8,1,1,3.5,5,58,10
10,0.2,0.8,1,1,3.5,5,59,49
10,0.2,0.8,1,1,3.5,5,60,16
10,0.2,0.8,1,1,3.5,5,61,49
10,0.2,0.8,1,1,3.5,5,62,49
10,0.2,0.8,1,1,3.5,5,63,10
10,0.2,0.8,1,1,3.5,5,64,49
10,0.2,0.8,1,1,3.5,5,65,7
10,0.2,0.8,1,1,3.5,5,66,8
10,0.2,0.8,1,1,3.5,5,67,14
10,0.2,0.8,1,1,3.5,5,68,9
10,0.2,0.8,1,1,3.5,5,69,49
10,0.2,0.8,1,1,3.5,5,70,13
10,0.2,0.8,1,1,3.5,5,71,49
10,0.2,0.8,1,1,3.5,5,72,10
10,0.2,0.8,1,1,3.5,5,73,14
10,0.2,0.8,1,1,3.5,5,74,8
10,0.2,0.8,1,1,3.5,5,75,49
10,0.2,0.8,1,1,3.5,5,76,9
10,0.2,0.8,1,1,3.5,5,77,12
10,0.2,0.8,1,1,3.5,5,78,13
10,0.2,0.8,1,1,3.5,5,79,49
10,0.2,0.8,1,1,3.5,5,80,49
10,0.2,0.8,1,1,3.5,5,81,13
10,0.2,0.8,1,1,3.5,5,82,9
10,0.2,0.8,1,1,3.5,5,83,15
10,0.2,0.8,1,1,3.5,5,84,9
10,0.2,0.8,1,1,3.5,5,85,16
10,0.2,0.8,1,1,3.5,5,86,49
10,0.2,0.8,1,1,3.5,5,87,8
10,0.2,0.8,1,1,3.5,5,88,9
10,0.2,0.8,1,1,3.5,5,89,11
10,0.2,0.8,1,1,3.5,5,90,49
10,0.2,0.8,1,1,3.5,5,91,13
10,0.2,0.8,1,1,3.5,5,92,15
10,0.2,0.8,1,1,3.5,5,93,49
10,0.2,0.8,1,1,3.5,5,94,49
10,0.2,0.8,1,1,3.5,5,95,15
10,0.2,0.8,1,1,3.5,5,96,19
10,0.2,0.8,1,1,3.5,5,97,8
10,0.2,0.8,1,1,3.5,5,98,12
10,0.2,0.8,1,1,3.5,5,99,16
10,0.2,0.8,1,1,3.5,5,100,11
10,0.2,0.8,1,1,3.5,5,101,10
10,0.2,0.8,1,1,3.5,5,102,14
10,0.2,0.8,1,1,3.5,5,103,13
10,0.2,0.8,1,1,3.5,5,104,10
10,0.2,0.8,1,1,3.5,5,105,11
10,0.2,0.8,1,1,3.5,5,106,13
10,0.2,0.8,1,1,3.5,5,107,15
10,0.2,0.8,1,1,3.5,5,108,7
10,0.2,0.8,1,1,3.5,5,109,15
10,0.2,0.8,1,1,3.5,5,110,8
