sides,defector,cooperator,radio,pay,factor,tolerance,info_seed,info_generations
40,0.2,0.8,1,1,2,67,0,19
40,0.2,0.8,1,1,2,67,1,18
40,0.2,0.8,1,1,2,67,2,22
40,0.2,0.8,1,1,2,67,3,28
40,0.2,0.8,1,1,2,67,4,20
40,0.2,0.8,1,1,2,67,5,22
40,0.2,0.8,1,1,2,67,6,23
40,0.2,0.8,1,1,2,67,7,19
40,0.2,0.8,1,1,2,67,8,24
40,0.2,0.8,1,1,2,67,9,31
40,0.2,0.8,1,1,2,67,10,23
40,0.2,0.8,1,1,2,67,11,26
40,0.2,0.8,1,1,2,67,12,27
40,0.2,0.8,1,1,2,67,13,20
40,0.2,0.8,1,1,2,67,14,23
40,0.2,0.8,1,1,2,67,15,29
40,0.2,0.8,1,1,2,67,16,25
40,0.2,0.8,1,1,2,67,17,21
40,0.2,0.8,1,1,2,67,18,22
40,0.2,0.8,1,1,2,67,19,24
40,0.2,0.8,1,1,2,67,20,22
40,0.2,0.8,1,1,2,67,21,24
40,0.2,0.8,1,1,2,67,22,21
40,0.2,0.8,1,1,2,67,23,22
40,0.2,0.8,1,1,2,67,24,27
40,0.2,0.8,1,1,2,67,25,22
40,0.2,0.8,1,1,2,67,26,19
40,0.2,0.8,1,1,2,67,27,19
40,0.2,0.8,1,1,2,67,28,20
40,0.2,0.8,1,1,2,67,29,24
40,0.2,0.8,1,1,2,67,30,24
40,0.2,0.8,1,1,2,67,31,22
40,0.2,0.8,1,1,2,67,32,24
40,0.2,0.8,1,1,2,67,33,24
40,0.2,0.8,1,1,2,67,34,21
40,0.2,0.8,1,1,2,67,35,27
40,0.2,0.8,1,1,2,67,36,22
40,0.2,0.8,1,1,2,67,37,19
40,0.2,0.8,1,1,2,67,38,26
40,0.2,0.8,1,1,2,67,39,22
40,0.2,0.8,1,1,2,67,40,30
40,0.2,0.8,1,1,2,67,41,19
40,0.2,0.8,1,1,2,67,42,18
40,0.2,0.8,1,1,2,67,43,24
40,0.2,0.8,1,1,2,67,44,28
40,0.2,0.8,1,1,2,67,45,18
40,0.2,0.8,1,1,2,67,46,27
40,0.2,0.8,1,1,2,67,47,27
40,0.2,0.8,1,1,2,67,48,30
40,0.2,0.8,1,1,2,67,49,25
40,0.2,0.8,1,1,2,67,50,27
40,0.2,0.8,1,1,2,67,51,16
40,0.2,0.8,1,1,2,67,52,23
40,0.2,0.8,1,1,2,67,53,25
40,0.2,0.8,1,1,2,67,54,22
40,0.2,0.8,1,1,2,67,55,23
40,0.2,0.8,1,1,2,67,56,22
40,0.2,0.8,1,1,2,67,57,24
40,0.2,0.8,1,1,2,67,58,21
40,0.2,0.8,1,1,2,67,59,23
40,0.2,0.8,1,1,2,67,60,28
40,0.2,0.8,1,1,2,67,61,26
40,0.2,0.8,1,1,2,67,62,19
40,0.2,0.8,1,1,2,67,63,22
40,0.2,0.8,1,1,2,67,64,30
40,0.2,0.8,1,1,2,67,65,20
40,0.2,0.8,1,1,2,67,66,20
40,0.2,0.8,1,1,2,67,67,23
40,0.2,0.8,1,1,2,67,68,19
40,0.2,0.8,1,1,2,67,69,22
40,0.2,0.8,1,1,2,67,70,20
40,0.2,0.8,1,1,2,67,71,21
40,0.2,0.8,1,1,2,67,72,25
40,0.2,0.8,1,1,2,67,73,22
40,0.2,0.8,1,1,2,67,74,22
40,0.2,0.8,1,1,2,67,75,16
40,0.2,0.8,1,1,2,67,76,17
40,0.2,0.8,1,1,2,67,77,21
40,0.2,0.8,1,1,2,67,78,28
40,0.2,0.8,1,1,2,67,79,28
40,0.2,0.8,1,1,2,67,80,22
40,0.2,0.8,1,1,2,67,81,20
40,0.2,0.8,1,1,2,67,82,24
40,0.2,0.8,1,1,2,67,83,22
40,0.2,0.8,1,1,2,67,84,24
40,0.2,0.8,1,1,2,67,85,28
40,0.2,0.8,1,1,2,67,86,19
40,0.2,0.8,1,1,2,67,87,22
40,0.2,0.8,1,1,2,67,88,19
40,0.2,0.8,1,1,2,67,89,22
40,0.2,0.8,1,1,2,67,90,28
40,0.2,0.8,1,1,2,67,91,21
40,0.2,0.8,1,1,2,67,92,24
40,0.2,0.8,1,1,2,67,93,17
40,0.2,0.8,1,1,2,67,94,23
40,0.2,0.8,1,1,2,67,95,22
40,0.2,0.8,1,1,2,67,96,23
40,0.2,0.8,1,1,2,67,97,25
40,0.2,0.8,1,1,2,67,98,21
40,0.2,0.8,1,1,2,67,99,30
40,0.2,0.8,1,1,2,67,100,17
40,0.2,0.8,1,1,2,67,101,19
40,0.2,0.8,1,1,2,67,102,21
40,0.2,0.8,1,1,2,67,103,25
40,0.2,0.8,1,1,2,67,104,23
40,0.2,0.8,1,1,2,67,105,23
40,0.2,0.8,1,1,2,67,106,27
40,0.2,0.8,1,1,2,67,107,22
40,0.2,0.8,1,1,2,67,108,17
40,0.2,0.8,1,1,2,67,109,25
40,0.2,0.8,1,1,2,67,110,20
40,0.2,0.8,1,1,2,67,111,24
40,0.2,0.8,1,1,2,67,112,25
40,0.2,0.8,1,1,2,67,113,24
40,0.2,0.8,1,1,2,67,114,23
40,0.2,0.8,1,1,2,67,115,20
40,0.2,0.8,1,1,2,67,116,29
40,0.2,0.8,1,1,2,67,117,22
40,0.2,0.8,1,1,2,67,118,19
40,0.2,0.8,1,1,2,67,119,26
40,0.2,0.8,1,1,2,67,120,23
40,0.2,0.8,1,1,2,67,121,22
40,0.2,0.8,1,1,2,67,122,27
40,0.2,0.8,1,1,2,67,123,30
40,0.2,0.8,1,1,2,67,124,24
40,0.2,0.8,1,1,2,67,125,21
40,0.2,0.8,1,1,2,67,126,30
40,0.2,0.8,1,1,2,67,127,20
40,0.2,0.8,1,1,2,67,128,26
40,0.2,0.8,1,1,2,67,129,16
40,0.2,0.8,1,1,2,67,130,18
40,0.2,0.8,1,1,2,67,131,20
40,0.2,0.8,1,1,2,67,132,23
40,0.2,0.8,1,1,2,67,133,20
40,0.2,0.8,1,1,2,67,134,19
40,0.2,0.8,1,1,2,67,135,21
40,0.2,0.8,1,1,2,67,136,25
40,0.2,0.8,1,1,2,67,137,23
40,0.2,0.8,1,1,2,67,138,22
40,0.2,0.8,1,1,2,67,139,20
40,0.2,0.8,1,1,2,67,140,25
40,0.2,0.8,1,1,2,67,141,20
40,0.2,0.8,1,1,2,67,142,23
40,0.2,0.8,1,1,2,67,143,25
40,0.2,0.8,1,1,2,67,144,22
40,0.2,0.8,1,1,2,67,145,23
40,0.2,0.8,1,1,2,67,146,28
40,0.2,0.8,1,1,2,67,147,22
40,0.2,0.8,1,1,2,67,148,22
40,0.2,0.8,1,1,2,67,149,25
40,0.2,0.8,1,1,2,67,150,19
40,0.2,0.8,1,1,2,67,151,20
40,0.2,0.8,1,1,2,67,152,23
40,0.2,0.8,1,1,2,67,153,20
40,0.2,0.8,1,1,2,67,154,22
40,0.2,0.8,1,1,2,67,155,24
40,0.2,0.8,1,1,2,67,156,21
40,0.2,0.8,1,1,2,67,157,23
40,0.2,0.8,1,1,2,67,158,25
40,0.2,0.8,1,1,2,67,159,24
40,0.2,0.8,1,1,2,67,160,18
40,0.2,0.8,1,1,2,67,161,30
40,0.2,0.8,1,1,2,67,162,27
40,0.2,0.8,1,1,2,67,163,30
