sides,defector,cooperator,radio,pay,factor,tolerance,info_seed,info_generations
10,0.2,0.8,1,1,2,45,0,5
10,0.2,0.8,1,1,2,45,1,4
10,0.2,0.8,1,1,2,45,2,5
10,0.2,0.8,1,1,2,45,3,7
10,0.2,0.8,1,1,2,45,4,6
10,0.2,0.8,1,1,2,45,5,4
10,0.2,0.8,1,1,2,45,6,6
10,0.2,0.8,1,1,2,45,7,6
10,0.2,0.8,1,1,2,45,8,6
10,0.2,0.8,1,1,2,45,9,4
10,0.2,0.8,1,1,2,45,10,5
10,0.2,0.8,1,1,2,45,11,4
10,0.2,0.8,1,1,2,45,12,5
10,0.2,0.8,1,1,2,45,13,4
10,0.2,0.8,1,1,2,45,14,5
10,0.2,0.8,1,1,2,45,15,5
10,0.2,0.8,1,1,2,45,16,5
10,0.2,0.8,1,1,2,45,17,5
10,0.2,0.8,1,1,2,45,18,4
10,0.2,0.8,1,1,2,45,19,5
10,0.2,0.8,1,1,2,45,20,5
10,0.2,0.8,1,1,2,45,21,6
10,0.2,0.8,1,1,2,45,22,5
10,0.2,0.8,1,1,2,45,23,4
10,0.2,0.8,1,1,2,45,24,6
10,0.2,0.8,1,1,2,45,25,5
10,0.2,0.8,1,1,2,45,26,5
10,0.2,0.8,1,1,2,45,27,5
10,0.2,0.8,1,1,2,45,28,5
10,0.2,0.8,1,1,2,45,29,6
10,0.2,0.8,1,1,2,45,30,6
10,0.2,0.8,1,1,2,45,31,5
10,0.2,0.8,1,1,2,45,32,5
10,0.2,0.8,1,1,2,45,33,5
10,0.2,0.8,1,1,2,45,34,4
10,0.2,0.8,1,1,2,45,35,5
10,0.2,0.8,1,1,2,45,36,4
10,0.2,0.8,1,1,2,45,37,6
10,0.2,0.8,1,1,2,45,38,9
10,0.2,0.8,1,1,2,45,39,5
10,0.2,0.8,1,1,2,45,40,4
10,0.2,0.8,1,1,2,45,41,5
10,0.2,0.8,1,1,2,45,42,4
10,0.2,0.8,1,1,2,45,43,6
10,0.2,0.8,1,1,2,45,44,4
10,0.2,0.8,1,1,2,45,45,5
10,0.2,0.8,1,1,2,45,46,4
10,0.2,0.8,1,1,2,45,47,7
10,0.2,0.8,1,1,2,45,48,5
10,0.2,0.8,1,1,2,45,49,7
10,0.2,0.8,1,1,2,45,50,7
10,0.2,0.8,1,1,2,45,51,4
10,0.2,0.8,1,1,2,45,52,6
10,0.2,0.8,1,1,2,45,53,6
10,0.2,0.8,1,1,2,45,54,5
10,0.2,0.8,1,1,2,45,55,6
10,0.2,0.8,1,1,2,45,56,5
