sides,defector,cooperator,radio,pay,factor,tolerance,info_seed,info_generations
20,0.2,0.8,1,1,2,45,0,6
20,0.2,0.8,1,1,2,45,1,7
20,0.2,0.8,1,1,2,45,2,5
20,0.2,0.8,1,1,2,45,3,6
20,0.2,0.8,1,1,2,45,4,7
20,0.2,0.8,1,1,2,45,5,7
20,0.2,0.8,1,1,2,45,6,7
20,0.2,0.8,1,1,2,45,7,6
20,0.2,0.8,1,1,2,45,8,6
20,0.2,0.8,1,1,2,45,9,5
20,0.2,0.8,1,1,2,45,10,5
20,0.2,0.8,1,1,2,45,11,6
20,0.2,0.8,1,1,2,45,12,5
20,0.2,0.8,1,1,2,45,13,6
20,0.2,0.8,1,1,2,45,14,8
20,0.2,0.8,1,1,2,45,15,5
20,0.2,0.8,1,1,2,45,16,6
20,0.2,0.8,1,1,2,45,17,6
20,0.2,0.8,1,1,2,45,18,8
20,0.2,0.8,1,1,2,45,19,6
20,0.2,0.8,1,1,2,45,20,7
20,0.2,0.8,1,1,2,45,21,5
20,0.2,0.8,1,1,2,45,22,7
20,0.2,0.8,1,1,2,45,23,6
20,0.2,0.8,1,1,2,45,24,6
20,0.2,0.8,1,1,2,45,25,7
20,0.2,0.8,1,1,2,45,26,5
20,0.2,0.8,1,1,2,45,27,7
20,0.2,0.8,1,1,2,45,28,5
20,0.2,0.8,1,1,2,45,29,6
20,0.2,0.8,1,1,2,45,30,5
20,0.2,0.8,1,1,2,45,31,7
20,0.2,0.8,1,1,2,45,32,8
20,0.2,0.8,1,1,2,45,33,7
20,0.2,0.8,1,1,2,45,34,5
20,0.2,0.8,1,1,2,45,35,8
20,0.2,0.8,1,1,2,45,36,7
20,0.2,0.8,1,1,2,45,37,7
20,0.2,0.8,1,1,2,45,38,8
20,0.2,0.8,1,1,2,45,39,6
20,0.2,0.8,1,1,2,45,40,7
20,0.2,0.8,1,1,2,45,41,5
20,0.2,0.8,1,1,2,45,42,6
20,0.2,0.8,1,1,2,45,43,6
20,0.2,0.8,1,1,2,45,44,6
20,0.2,0.8,1,1,2,45,45,7
20,0.2,0.8,1,1,2,45,46,4
20,0.2,0.8,1,1,2,45,47,6
20,0.2,0.8,1,1,2,45,48,6
20,0.2,0.8,1,1,2,45,49,7
20,0.2,0.8,1,1,2,45,50,8
20,0.2,0.8,1,1,2,45,51,6
20,0.2,0.8,1,1,2,45,52,7
20,0.2,0.8,1,1,2,45,53,8
20,0.2,0.8,1,1,2,45,54,7
20,0.2,0.8,1,1,2,45,55,7
20,0.2,0.8,1,1,2,45,56,6
20,0.2,0.8,1,1,2,45,57,6
20,0.2,0.8,1,1,2,45,58,5
20,0.2,0.8,1,1,2,45,59,7
20,0.2,0.8,1,1,2,45,60,6
20,0.2,0.8,1,1,2,45,61,7
20,0.2,0.8,1,1,2,45,62,8
20,0.2,0.8,1,1,2,45,63,6
20,0.2,0.8,1,1,2,45,64,6
20,0.2,0.8,1,1,2,45,65,5
20,0.2,0.8,1,1,2,45,66,7
20,0.2,0.8,1,1,2,45,67,6
20,0.2,0.8,1,1,2,45,68,5
20,0.2,0.8,1,1,2,45,69,8
20,0.2,0.8,1,1,2,45,70,6
20,0.2,0.8,1,1,2,45,71,7
20,0.2,0.8,1,1,2,45,72,6
20,0.2,0.8,1,1,2,45,73,5
20,0.2,0.8,1,1,2,45,74,5
20,0.2,0.8,1,1,2,45,75,6
20,0.2,0.8,1,1,2,45,76,5
20,0.2,0.8,1,1,2,45,77,6
20,0.2,0.8,1,1,2,45,78,11
20,0.2,0.8,1,1,2,45,79,6
20,0.2,0.8,1,1,2,45,80,8
20,0.2,0.8,1,1,2,45,81,7
20,0.2,0.8,1,1,2,45,82,8
20,0.2,0.8,1,1,2,45,83,6
20,0.2,0.8,1,1,2,45,84,6
20,0.2,0.8,1,1,2,45,85,6
20,0.2,0.8,1,1,2,45,86,6
20,0.2,0.8,1,1,2,45,87,6
20,0.2,0.8,1,1,2,45,88,6
20,0.2,0.8,1,1,2,45,89,5
20,0.2,0.8,1,1,2,45,90,6
20,0.2,0.8,1,1,2,45,91,6
20,0.2,0.8,1,1,2,45,92,6
20,0.2,0.8,1,1,2,45,93,5
20,0.2,0.8,1,1,2,45,94,6
20,0.2,0.8,1,1,2,45,95,6
20,0.2,0.8,1,1,2,45,96,8
20,0.2,0.8,1,1,2,45,97,8
20,0.2,0.8,1,1,2,45,98,6
20,0.2,0.8,1,1,2,45,99,6
20,0.2,0.8,1,1,2,45,100,7
20,0.2,0.8,1,1,2,45,101,7
20,0.2,0.8,1,1,2,45,102,6
20,0.2,0.8,1,1,2,45,103,7
20,0.2,0.8,1,1,2,45,104,6
20,0.2,0.8,1,1,2,45,105,8
20,0.2,0.8,1,1,2,45,106,6
20,0.2,0.8,1,1,2,45,107,6
20,0.2,0.8,1,1,2,45,108,6
20,0.2,0.8,1,1,2,45,109,8
20,0.2,0.8,1,1,2,45,110,6
20,0.2,0.8,1,1,2,45,111,5
20,0.2,0.8,1,1,2,45,112,5
20,0.2,0.8,1,1,2,45,113,6
20,0.2,0.8,1,1,2,45,114,8
20,0.2,0.8,1,1,2,45,115,7
20,0.2,0.8,1,1,2,45,116,5
20,0.2,0.8,1,1,2,45,117,5
20,0.2,0.8,1,1,2,45,118,5
20,0.2,0.8,1,1,2,45,119,6
20,0.2,0.8,1,1,2,45,120,9
20,0.2,0.8,1,1,2,45,121,6
20,0.2,0.8,1,1,2,45,122,6
20,0.2,0.8,1,1,2,45,123,9
20,0.2,0.8,1,1,2,45,124,6
20,0.2,0.8,1,1,2,45,125,6
20,0.2,0.8,1,1,2,45,126,5
20,0.2,0.8,1,1,2,45,127,5
20,0.2,0.8,1,1,2,45,128,6
20,0.2,0.8,1,1,2,45,129,6
20,0.2,0.8,1,1,2,45,130,6
20,0.2,0.8,1,1,2,45,131,7
20,0.2,0.8,1,1,2,45,132,6
20,0.2,0.8,1,1,2,45,133,7
20,0.2,0.8,1,1,2,45,134,6
20,0.2,0.8,1,1,2,45,135,7
20,0.2,0.8,1,1,2,45,136,7
