sides,defector,cooperator,radio,pay,factor,tolerance,info_seed,info_generations,status_undetermined
20,0.2,0.8,1,1,1.1,27,0,17,False
20,0.2,0.8,1,1,1.1,27,1,20,False
20,0.2,0.8,1,1,1.1,27,2,15,False
20,0.2,0.8,1,1,1.1,27,3,18,False
20,0.2,0.8,1,1,1.1,27,4,23,False
20,0.2,0.8,1,1,1.1,27,5,22,False
20,0.2,0.8,1,1,1.1,27,6,21,False
20,0.2,0.8,1,1,1.1,27,7,14,False
20,0.2,0.8,1,1,1.1,27,8,14,False
20,0.2,0.8,1,1,1.1,27,9,20,False
20,0.2,0.8,1,1,1.1,27,10,13,False
20,0.2,0.8,1,1,1.1,27,11,22,False
20,0.2,0.8,1,1,1.1,27,12,17,False
20,0.2,0.8,1,1,1.1,27,13,15,False
20,0.2,0.8,1,1,1.1,27,14,22,False
20,0.2,0.8,1,1,1.1,27,15,19,False
20,0.2,0.8,1,1,1.1,27,16,16,False
20,0.2,0.8,1,1,1.1,27,17,23,False
20,0.2,0.8,1,1,1.1,27,18,24,False
20,0.2,0.8,1,1,1.1,27,19,13,False
20,0.2,0.8,1,1,1.1,27,20,25,False
20,0.2,0.8,1,1,1.1,27,21,20,False
20,0.2,0.8,1,1,1.1,27,22,20,False
20,0.2,0.8,1,1,1.1,27,23,16,False
20,0.2,0.8,1,1,1.1,27,24,18,False
20,0.2,0.8,1,1,1.1,27,25,18,False
20,0.2,0.8,1,1,1.1,27,26,16,False
20,0.2,0.8,1,1,1.1,27,27,25,False
20,0.2,0.8,1,1,1.1,27,28,16,False
20,0.2,0.8,1,1,1.1,27,29,15,False
20,0.2,0.8,1,1,1.1,27,30,19,False
20,0.2,0.8,1,1,1.1,27,31,17,False
20,0.2,0.8,1,1,1.1,27,32,21,False
20,0.2,0.8,1,1,1.1,27,33,27,False
20,0.2,0.8,1,1,1.1,27,34,13,False
20,0.2,0.8,1,1,1.1,27,35,31,False
20,0.2,0.8,1,1,1.1,27,36,18,False
20,0.2,0.8,1,1,1.1,27,37,13,False
20,0.2,0.8,1,1,1.1,27,38,32,False
20,0.2,0.8,1,1,1.1,27,39,31,False
20,0.2,0.8,1,1,1.1,27,40,15,False
20,0.2,0.8,1,1,1.1,27,41,16,False
20,0.2,0.8,1,1,1.1,27,42,18,False
20,0.2,0.8,1,1,1.1,27,43,16,False
20,0.2,0.8,1,1,1.1,27,44,17,False
20,0.2,0.8,1,1,1.1,27,45,19,False
20,0.2,0.8,1,1,1.1,27,46,11,False
20,0.2,0.8,1,1,1.1,27,47,19,False
20,0.2,0.8,1,1,1.1,27,48,17,False
20,0.2,0.8,1,1,1.1,27,49,22,False
20,0.2,0.8,1,1,1.1,27,50,25,False
20,0.2,0.8,1,1,1.1,27,51,14,False
20,0.2,0.8,1,1,1.1,27,52,23,False
20,0.2,0.8,1,1,1.1,27,53,17,False
20,0.2,0.8,1,1,1.1,27,54,17,False
20,0.2,0.8,1,1,1.1,27,55,15,False
20,0.2,0.8,1,1,1.1,27,56,17,False
20,0.2,0.8,1,1,1.1,27,57,17,False
20,0.2,0.8,1,1,1.1,27,58,16,False
20,0.2,0.8,1,1,1.1,27,59,21,False
20,0.2,0.8,1,1,1.1,27,60,16,False
20,0.2,0.8,1,1,1.1,27,61,22,False
20,0.2,0.8,1,1,1.1,27,62,19,False
20,0.2,0.8,1,1,1.1,27,63,16,False
20,0.2,0.8,1,1,1.1,27,64,15,False
20,0.2,0.8,1,1,1.1,27,65,11,False
20,0.2,0.8,1,1,1.1,27,66,16,False
20,0.2,0.8,1,1,1.1,27,67,16,False
20,0.2,0.8,1,1,1.1,27,68,16,False
20,0.2,0.8,1,1,1.1,27,69,24,False
20,0.2,0.8,1,1,1.1,27,70,15,False
20,0.2,0.8,1,1,1.1,27,71,21,False
20,0.2,0.8,1,1,1.1,27,72,16,False
20,0.2,0.8,1,1,1.1,27,73,12,False
20,0.2,0.8,1,1,1.1,27,74,11,False
20,0.2,0.8,1,1,1.1,27,75,15,False
20,0.2,0.8,1,1,1.1,27,76,13,False
20,0.2,0.8,1,1,1.1,27,77,19,False
20,0.2,0.8,1,1,1.1,27,78,49,False
20,0.2,0.8,1,1,1.1,27,79,15,False
20,0.2,0.8,1,1,1.1,27,80,18,False
20,0.2,0.8,1,1,1.1,27,81,17,False
20,0.2,0.8,1,1,1.1,27,82,22,False
20,0.2,0.8,1,1,1.1,27,83,23,False
20,0.2,0.8,1,1,1.1,27,84,16,False
20,0.2,0.8,1,1,1.1,27,85,19,False
20,0.2,0.8,1,1,1.1,27,86,23,False
20,0.2,0.8,1,1,1.1,27,87,17,False
20,0.2,0.8,1,1,1.1,27,88,13,False
20,0.2,0.8,1,1,1.1,27,89,12,False
20,0.2,0.8,1,1,1.1,27,90,21,False
20,0.2,0.8,1,1,1.1,27,91,15,False
20,0.2,0.8,1,1,1.1,27,92,14,False
20,0.2,0.8,1,1,1.1,27,93,15,False
20,0.2,0.8,1,1,1.1,27,94,23,False
20,0.2,0.8,1,1,1.1,27,95,16,False
20,0.2,0.8,1,1,1.1,27,96,27,False
20,0.2,0.8,1,1,1.1,27,97,27,False
20,0.2,0.8,1,1,1.1,27,98,19,False
20,0.2,0.8,1,1,1.1,27,99,21,False
20,0.2,0.8,1,1,1.1,27,100,16,False
20,0.2,0.8,1,1,1.1,27,101,23,False
20,0.2,0.8,1,1,1.1,27,102,21,False
20,0.2,0.8,1,1,1.1,27,103,18,False
20,0.2,0.8,1,1,1.1,27,104,21,False
20,0.2,0.8,1,1,1.1,27,105,38,False
20,0.2,0.8,1,1,1.1,27,106,17,False
20,0.2,0.8,1,1,1.1,27,107,21,False
20,0.2,0.8,1,1,1.1,27,108,18,False
20,0.2,0.8,1,1,1.1,27,109,22,False
20,0.2,0.8,1,1,1.1,27,110,25,False
20,0.2,0.8,1,1,1.1,27,111,14,False
20,0.2,0.8,1,1,1.1,27,112,14,False
20,0.2,0.8,1,1,1.1,27,113,16,False
20,0.2,0.8,1,1,1.1,27,114,26,False
20,0.2,0.8,1,1,1.1,27,115,18,False
20,0.2,0.8,1,1,1.1,27,116,15,False
20,0.2,0.8,1,1,1.1,27,117,15,False
20,0.2,0.8,1,1,1.1,27,118,14,False
20,0.2,0.8,1,1,1.1,27,119,19,False
20,0.2,0.8,1,1,1.1,27,120,24,False
20,0.2,0.8,1,1,1.1,27,121,19,False
20,0.2,0.8,1,1,1.1,27,122,19,False
20,0.2,0.8,1,1,1.1,27,123,27,False
20,0.2,0.8,1,1,1.1,27,124,15,False
20,0.2,0.8,1,1,1.1,27,125,17,False
20,0.2,0.8,1,1,1.1,27,126,16,False
20,0.2,0.8,1,1,1.1,27,127,17,False
20,0.2,0.8,1,1,1.1,27,128,20,False
20,0.2,0.8,1,1,1.1,27,129,15,False
20,0.2,0.8,1,1,1.1,27,130,14,False
20,0.2,0.8,1,1,1.1,27,131,16,False
20,0.2,0.8,1,1,1.1,27,132,19,False
20,0.2,0.8,1,1,1.1,27,133,17,False
20,0.2,0.8,1,1,1.1,27,134,17,False
20,0.2,0.8,1,1,1.1,27,135,20,False
20,0.2,0.8,1,1,1.1,27,136,20,False
20,0.2,0.8,1,1,1.1,27,137,12,False
20,0.2,0.8,1,1,1.1,27,138,18,False
20,0.2,0.8,1,1,1.1,27,139,21,False
20,0.2,0.8,1,1,1.1,27,140,18,False
20,0.2,0.8,1,1,1.1,27,141,15,False
20,0.2,0.8,1,1,1.1,27,142,25,False
20,0.2,0.8,1,1,1.1,27,143,17,False
20,0.2,0.8,1,1,1.1,27,144,14,False
20,0.2,0.8,1,1,1.1,27,145,12,False
20,0.2,0.8,1,1,1.1,27,146,18,False
20,0.2,0.8,1,1,1.1,27,147,15,False
20,0.2,0.8,1,1,1.1,27,148,19,False
