sides,defector,cooperator,radio,pay,factor,tolerance,info_seed,info_generations,status_undetermined
90,0.2,0.8,1,1,1.0,23,0,8,False
90,0.2,0.8,1,1,1.0,23,1,8,False
90,0.2,0.8,1,1,1.0,23,2,7,False
90,0.2,0.8,1,1,1.0,23,3,8,False
90,0.2,0.8,1,1,1.0,23,4,8,False
90,0.2,0.8,1,1,1.0,23,5,8,False
90,0.2,0.8,1,1,1.0,23,6,8,False
90,0.2,0.8,1,1,1.0,23,7,9,False
90,0.2,0.8,1,1,1.0,23,8,9,False
90,0.2,0.8,1,1,1.0,23,9,9,False
90,0.2,0.8,1,1,1.0,23,10,7,False
90,0.2,0.8,1,1,1.0,23,11,8,False
90,0.2,0.8,1,1,1.0,23,12,8,False
90,0.2,0.8,1,1,1.0,23,13,8,False
90,0.2,0.8,1,1,1.0,23,14,9,False
90,0.2,0.8,1,1,1.0,23,15,8,False
90,0.2,0.8,1,1,1.0,23,16,9,False
90,0.2,0.8,1,1,1.0,23,17,8,False
90,0.2,0.8,1,1,1.0,23,18,8,False
90,0.2,0.8,1,1,1.0,23,19,9,False
90,0.2,0.8,1,1,1.0,23,20,11,False
90,0.2,0.8,1,1,1.0,23,21,8,False
90,0.2,0.8,1,1,1.0,23,22,7,False
90,0.2,0.8,1,1,1.0,23,23,9,False
90,0.2,0.8,1,1,1.0,23,24,8,False
90,0.2,0.8,1,1,1.0,23,25,9,False
90,0.2,0.8,1,1,1.0,23,26,7,False
90,0.2,0.8,1,1,1.0,23,27,9,False
90,0.2,0.8,1,1,1.0,23,28,8,False
90,0.2,0.8,1,1,1.0,23,29,10,False
90,0.2,0.8,1,1,1.0,23,30,9,False
90,0.2,0.8,1,1,1.0,23,31,10,False
90,0.2,0.8,1,1,1.0,23,32,8,False
90,0.2,0.8,1,1,1.0,23,33,9,False
90,0.2,0.8,1,1,1.0,23,34,8,False
90,0.2,0.8,1,1,1.0,23,35,9,False
90,0.2,0.8,1,1,1.0,23,36,8,False
90,0.2,0.8,1,1,1.0,23,37,8,False
90,0.2,0.8,1,1,1.0,23,38,10,False
90,0.2,0.8,1,1,1.0,23,39,9,False
90,0.2,0.8,1,1,1.0,23,40,9,False
90,0.2,0.8,1,1,1.0,23,41,9,False
90,0.2,0.8,1,1,1.0,23,42,8,False
90,0.2,0.8,1,1,1.0,23,43,9,False
90,0.2,0.8,1,1,1.0,23,44,9,False
90,0.2,0.8,1,1,1.0,23,45,9,False
90,0.2,0.8,1,1,1.0,23,46,8,False
90,0.2,0.8,1,1,1.0,23,47,8,False
90,0.2,0.8,1,1,1.0,23,48,8,False
90,0.2,0.8,1,1,1.0,23,49,8,False
