sides,defector,cooperator,radio,pay,factor,tolerance,info_seed,info_generations,status_undetermined
90,0.2,0.8,1,1,1.0,45,0,8,True
90,0.2,0.8,1,1,1.0,45,1,15,True
90,0.2,0.8,1,1,1.0,45,2,18,True
90,0.2,0.8,1,1,1.0,45,3,14,True
90,0.2,0.8,1,1,1.0,45,4,16,True
90,0.2,0.8,1,1,1.0,45,5,11,True
90,0.2,0.8,1,1,1.0,45,6,9,True
90,0.2,0.8,1,1,1.0,45,7,9,True
90,0.2,0.8,1,1,1.0,45,8,19,True
90,0.2,0.8,1,1,1.0,45,9,9,True
90,0.2,0.8,1,1,1.0,45,10,13,True
90,0.2,0.8,1,1,1.0,45,11,10,True
90,0.2,0.8,1,1,1.0,45,12,14,True
90,0.2,0.8,1,1,1.0,45,13,12,True
90,0.2,0.8,1,1,1.0,45,14,14,True
90,0.2,0.8,1,1,1.0,45,15,14,True
90,0.2,0.8,1,1,1.0,45,16,12,True
90,0.2,0.8,1,1,1.0,45,17,6,True
90,0.2,0.8,1,1,1.0,45,18,17,True
90,0.2,0.8,1,1,1.0,45,19,11,True
90,0.2,0.8,1,1,1.0,45,20,12,True
90,0.2,0.8,1,1,1.0,45,21,12,True
90,0.2,0.8,1,1,1.0,45,22,9,True
90,0.2,0.8,1,1,1.0,45,23,15,True
90,0.2,0.8,1,1,1.0,45,24,8,True
90,0.2,0.8,1,1,1.0,45,25,14,True
90,0.2,0.8,1,1,1.0,45,26,12,True
90,0.2,0.8,1,1,1.0,45,27,9,True
90,0.2,0.8,1,1,1.0,45,28,8,True
90,0.2,0.8,1,1,1.0,45,29,11,True
90,0.2,0.8,1,1,1.0,45,30,10,True
90,0.2,0.8,1,1,1.0,45,31,6,True
90,0.2,0.8,1,1,1.0,45,32,11,True
90,0.2,0.8,1,1,1.0,45,33,12,True
90,0.2,0.8,1,1,1.0,45,34,13,True
90,0.2,0.8,1,1,1.0,45,35,9,True
90,0.2,0.8,1,1,1.0,45,36,6,True
90,0.2,0.8,1,1,1.0,45,37,12,True
90,0.2,0.8,1,1,1.0,45,38,14,True
90,0.2,0.8,1,1,1.0,45,39,13,True
90,0.2,0.8,1,1,1.0,45,40,8,True
90,0.2,0.8,1,1,1.0,45,41,11,True
90,0.2,0.8,1,1,1.0,45,42,10,True
90,0.2,0.8,1,1,1.0,45,43,12,True
90,0.2,0.8,1,1,1.0,45,44,9,True
90,0.2,0.8,1,1,1.0,45,45,12,True
90,0.2,0.8,1,1,1.0,45,46,30,True
90,0.2,0.8,1,1,1.0,45,47,14,True
90,0.2,0.8,1,1,1.0,45,48,7,True
90,0.2,0.8,1,1,1.0,45,49,11,True
90,0.2,0.8,1,1,1.0,45,50,8,True
90,0.2,0.8,1,1,1.0,45,51,23,True
90,0.2,0.8,1,1,1.0,45,52,11,True
90,0.2,0.8,1,1,1.0,45,53,25,True
90,0.2,0.8,1,1,1.0,45,54,9,True
90,0.2,0.8,1,1,1.0,45,55,8,True
90,0.2,0.8,1,1,1.0,45,56,17,True
90,0.2,0.8,1,1,1.0,45,57,7,True
90,0.2,0.8,1,1,1.0,45,58,10,True
90,0.2,0.8,1,1,1.0,45,59,10,True
90,0.2,0.8,1,1,1.0,45,60,10,True
90,0.2,0.8,1,1,1.0,45,61,13,True
90,0.2,0.8,1,1,1.0,45,62,12,True
90,0.2,0.8,1,1,1.0,45,63,20,True
90,0.2,0.8,1,1,1.0,45,64,8,True
90,0.2,0.8,1,1,1.0,45,65,6,True
90,0.2,0.8,1,1,1.0,45,66,9,True
90,0.2,0.8,1,1,1.0,45,67,13,True
90,0.2,0.8,1,1,1.0,45,68,12,True
90,0.2,0.8,1,1,1.0,45,69,14,True
90,0.2,0.8,1,1,1.0,45,70,11,True
90,0.2,0.8,1,1,1.0,45,71,12,True
90,0.2,0.8,1,1,1.0,45,72,14,True
90,0.2,0.8,1,1,1.0,45,73,10,True
90,0.2,0.8,1,1,1.0,45,74,23,True
90,0.2,0.8,1,1,1.0,45,75,14,True
90,0.2,0.8,1,1,1.0,45,76,11,True
90,0.2,0.8,1,1,1.0,45,77,18,True
90,0.2,0.8,1,1,1.0,45,78,15,True
90,0.2,0.8,1,1,1.0,45,79,7,True
90,0.2,0.8,1,1,1.0,45,80,10,True
90,0.2,0.8,1,1,1.0,45,81,8,True
90,0.2,0.8,1,1,1.0,45,82,10,True
90,0.2,0.8,1,1,1.0,45,83,12,True
90,0.2,0.8,1,1,1.0,45,84,10,True
90,0.2,0.8,1,1,1.0,45,85,9,True
90,0.2,0.8,1,1,1.0,45,86,7,True
90,0.2,0.8,1,1,1.0,45,87,10,True
90,0.2,0.8,1,1,1.0,45,88,12,True
90,0.2,0.8,1,1,1.0,45,89,12,True
90,0.2,0.8,1,1,1.0,45,90,15,True
90,0.2,0.8,1,1,1.0,45,91,14,True
90,0.2,0.8,1,1,1.0,45,92,9,True
90,0.2,0.8,1,1,1.0,45,93,11,True
90,0.2,0.8,1,1,1.0,45,94,14,True
90,0.2,0.8,1,1,1.0,45,95,12,True
90,0.2,0.8,1,1,1.0,45,96,7,True
90,0.2,0.8,1,1,1.0,45,97,9,True
90,0.2,0.8,1,1,1.0,45,98,13,True
90,0.2,0.8,1,1,1.0,45,99,13,True
90,0.2,0.8,1,1,1.0,45,100,12,True
90,0.2,0.8,1,1,1.0,45,101,7,True
90,0.2,0.8,1,1,1.0,45,102,12,True
90,0.2,0.8,1,1,1.0,45,103,22,True
90,0.2,0.8,1,1,1.0,45,104,9,True
90,0.2,0.8,1,1,1.0,45,105,11,True
90,0.2,0.8,1,1,1.0,45,106,10,True
90,0.2,0.8,1,1,1.0,45,107,8,True
90,0.2,0.8,1,1,1.0,45,108,14,True
90,0.2,0.8,1,1,1.0,45,109,10,True
90,0.2,0.8,1,1,1.0,45,110,10,True
90,0.2,0.8,1,1,1.0,45,111,9,True
90,0.2,0.8,1,1,1.0,45,112,10,True
90,0.2,0.8,1,1,1.0,45,113,18,True
90,0.2,0.8,1,1,1.0,45,114,12,True
90,0.2,0.8,1,1,1.0,45,115,13,True
90,0.2,0.8,1,1,1.0,45,116,12,True
90,0.2,0.8,1,1,1.0,45,117,9,True
90,0.2,0.8,1,1,1.0,45,118,16,True
90,0.2,0.8,1,1,1.0,45,119,10,True
90,0.2,0.8,1,1,1.0,45,120,13,True
90,0.2,0.8,1,1,1.0,45,121,11,True
90,0.2,0.8,1,1,1.0,45,122,11,True
90,0.2,0.8,1,1,1.0,45,123,20,True
90,0.2,0.8,1,1,1.0,45,124,16,True
90,0.2,0.8,1,1,1.0,45,125,16,True
90,0.2,0.8,1,1,1.0,45,126,13,True
90,0.2,0.8,1,1,1.0,45,127,16,True
90,0.2,0.8,1,1,1.0,45,128,17,True
90,0.2,0.8,1,1,1.0,45,129,12,True
90,0.2,0.8,1,1,1.0,45,130,17,True
90,0.2,0.8,1,1,1.0,45,131,12,True
90,0.2,0.8,1,1,1.0,45,132,8,True
90,0.2,0.8,1,1,1.0,45,133,14,True
90,0.2,0.8,1,1,1.0,45,134,15,True
90,0.2,0.8,1,1,1.0,45,135,19,True
90,0.2,0.8,1,1,1.0,45,136,7,True
90,0.2,0.8,1,1,1.0,45,137,11,True
90,0.2,0.8,1,1,1.0,45,138,12,True
90,0.2,0.8,1,1,1.0,45,139,11,True
90,0.2,0.8,1,1,1.0,45,140,12,True
90,0.2,0.8,1,1,1.0,45,141,16,True
90,0.2,0.8,1,1,1.0,45,142,16,True
90,0.2,0.8,1,1,1.0,45,143,13,True
90,0.2,0.8,1,1,1.0,45,144,11,True
90,0.2,0.8,1,1,1.0,45,145,16,True
90,0.2,0.8,1,1,1.0,45,146,10,True
90,0.2,0.8,1,1,1.0,45,147,13,True
90,0.2,0.8,1,1,1.0,45,148,8,True
90,0.2,0.8,1,1,1.0,45,149,8,True
90,0.2,0.8,1,1,1.0,45,150,13,True
90,0.2,0.8,1,1,1.0,45,151,9,True
90,0.2,0.8,1,1,1.0,45,152,17,True
90,0.2,0.8,1,1,1.0,45,153,15,True
90,0.2,0.8,1,1,1.0,45,154,16,True
90,0.2,0.8,1,1,1.0,45,155,20,True
90,0.2,0.8,1,1,1.0,45,156,9,True
90,0.2,0.8,1,1,1.0,45,157,17,True
90,0.2,0.8,1,1,1.0,45,158,15,True
90,0.2,0.8,1,1,1.0,45,159,20,True
90,0.2,0.8,1,1,1.0,45,160,9,True
90,0.2,0.8,1,1,1.0,45,161,10,True
90,0.2,0.8,1,1,1.0,45,162,7,True
90,0.2,0.8,1,1,1.0,45,163,12,True
90,0.2,0.8,1,1,1.0,45,164,11,True
