sides,defector,cooperator,radio,pay,factor,tolerance,info_seed,info_generations,status_undetermined
90,0.2,0.8,1,1,1.4,7,0,25,False
90,0.2,0.8,1,1,1.4,7,1,31,False
90,0.2,0.8,1,1,1.4,7,2,29,False
90,0.2,0.8,1,1,1.4,7,3,29,False
90,0.2,0.8,1,1,1.4,7,4,24,False
90,0.2,0.8,1,1,1.4,7,5,30,False
90,0.2,0.8,1,1,1.4,7,6,29,False
90,0.2,0.8,1,1,1.4,7,7,25,False
90,0.2,0.8,1,1,1.4,7,8,27,False
90,0.2,0.8,1,1,1.4,7,9,28,False
90,0.2,0.8,1,1,1.4,7,10,24,False
90,0.2,0.8,1,1,1.4,7,11,27,False
90,0.2,0.8,1,1,1.4,7,12,24,False
90,0.2,0.8,1,1,1.4,7,13,32,False
90,0.2,0.8,1,1,1.4,7,14,30,False
90,0.2,0.8,1,1,1.4,7,15,27,False
90,0.2,0.8,1,1,1.4,7,16,27,False
90,0.2,0.8,1,1,1.4,7,17,27,False
90,0.2,0.8,1,1,1.4,7,18,22,False
90,0.2,0.8,1,1,1.4,7,19,25,False
90,0.2,0.8,1,1,1.4,7,20,33,False
90,0.2,0.8,1,1,1.4,7,21,28,False
90,0.2,0.8,1,1,1.4,7,22,23,False
90,0.2,0.8,1,1,1.4,7,23,27,False
90,0.2,0.8,1,1,1.4,7,24,24,False
90,0.2,0.8,1,1,1.4,7,25,33,False
90,0.2,0.8,1,1,1.4,7,26,25,False
90,0.2,0.8,1,1,1.4,7,27,26,False
90,0.2,0.8,1,1,1.4,7,28,27,False
90,0.2,0.8,1,1,1.4,7,29,27,False
90,0.2,0.8,1,1,1.4,7,30,27,False
90,0.2,0.8,1,1,1.4,7,31,25,False
90,0.2,0.8,1,1,1.4,7,32,24,False
90,0.2,0.8,1,1,1.4,7,33,25,False
90,0.2,0.8,1,1,1.4,7,34,28,False
90,0.2,0.8,1,1,1.4,7,35,24,False
90,0.2,0.8,1,1,1.4,7,36,29,False
90,0.2,0.8,1,1,1.4,7,37,27,False
90,0.2,0.8,1,1,1.4,7,38,29,False
90,0.2,0.8,1,1,1.4,7,39,30,False
90,0.2,0.8,1,1,1.4,7,40,29,False
90,0.2,0.8,1,1,1.4,7,41,24,False
90,0.2,0.8,1,1,1.4,7,42,26,False
90,0.2,0.8,1,1,1.4,7,43,28,False
90,0.2,0.8,1,1,1.4,7,44,25,False
90,0.2,0.8,1,1,1.4,7,45,32,False
90,0.2,0.8,1,1,1.4,7,46,29,False
90,0.2,0.8,1,1,1.4,7,47,28,False
90,0.2,0.8,1,1,1.4,7,48,27,False
90,0.2,0.8,1,1,1.4,7,49,27,False
90,0.2,0.8,1,1,1.4,7,50,26,False
90,0.2,0.8,1,1,1.4,7,51,26,False
