sides,defector,cooperator,radio,pay,factor,tolerance,info_seed,info_generations,status_undetermined
100,0.2,0.8,1,1,2,0,0,10,True
100,0.2,0.8,1,1,2,0,1,9,True
100,0.2,0.8,1,1,2,0,2,9,True
100,0.2,0.8,1,1,2,0,3,9,True
100,0.2,0.8,1,1,2,0,4,11,True
100,0.2,0.8,1,1,2,0,5,11,True
100,0.2,0.8,1,1,2,0,6,11,True
100,0.2,0.8,1,1,2,0,7,16,True
100,0.2,0.8,1,1,2,0,8,18,True
100,0.2,0.8,1,1,2,0,9,9,True
100,0.2,0.8,1,1,2,0,10,11,True
100,0.2,0.8,1,1,2,0,11,14,True
100,0.2,0.8,1,1,2,0,12,16,True
100,0.2,0.8,1,1,2,0,13,9,True
100,0.2,0.8,1,1,2,0,14,8,True
100,0.2,0.8,1,1,2,0,15,12,True
100,0.2,0.8,1,1,2,0,16,8,True
100,0.2,0.8,1,1,2,0,17,26,True
100,0.2,0.8,1,1,2,0,18,9,True
100,0.2,0.8,1,1,2,0,19,12,True
100,0.2,0.8,1,1,2,0,20,9,True
100,0.2,0.8,1,1,2,0,21,18,True
100,0.2,0.8,1,1,2,0,22,8,True
100,0.2,0.8,1,1,2,0,23,12,True
100,0.2,0.8,1,1,2,0,24,13,True
100,0.2,0.8,1,1,2,0,25,11,True
100,0.2,0.8,1,1,2,0,26,15,True
100,0.2,0.8,1,1,2,0,27,11,True
100,0.2,0.8,1,1,2,0,28,11,True
100,0.2,0.8,1,1,2,0,29,14,True
100,0.2,0.8,1,1,2,0,30,11,True
100,0.2,0.8,1,1,2,0,31,9,True
100,0.2,0.8,1,1,2,0,32,11,True
100,0.2,0.8,1,1,2,0,33,8,True
100,0.2,0.8,1,1,2,0,34,15,True
100,0.2,0.8,1,1,2,0,35,8,True
100,0.2,0.8,1,1,2,0,36,17,True
100,0.2,0.8,1,1,2,0,37,17,True
100,0.2,0.8,1,1,2,0,38,11,True
100,0.2,0.8,1,1,2,0,39,13,True
100,0.2,0.8,1,1,2,0,40,9,True
100,0.2,0.8,1,1,2,0,41,20,True
100,0.2,0.8,1,1,2,0,42,26,True
100,0.2,0.8,1,1,2,0,43,7,True
100,0.2,0.8,1,1,2,0,44,15,True
100,0.2,0.8,1,1,2,0,45,11,True
100,0.2,0.8,1,1,2,0,46,14,True
100,0.2,0.8,1,1,2,0,47,11,True
100,0.2,0.8,1,1,2,0,48,9,True
100,0.2,0.8,1,1,2,0,49,16,True
100,0.2,0.8,1,1,2,0,50,11,True
100,0.2,0.8,1,1,2,0,51,11,True
100,0.2,0.8,1,1,2,0,52,10,True
100,0.2,0.8,1,1,2,0,53,11,True
100,0.2,0.8,1,1,2,0,54,11,True
100,0.2,0.8,1,1,2,0,55,12,True
100,0.2,0.8,1,1,2,0,56,9,True
100,0.2,0.8,1,1,2,0,57,24,True
100,0.2,0.8,1,1,2,0,58,8,True
100,0.2,0.8,1,1,2,0,59,16,True
100,0.2,0.8,1,1,2,0,60,15,True
100,0.2,0.8,1,1,2,0,61,14,True
100,0.2,0.8,1,1,2,0,62,11,True
100,0.2,0.8,1,1,2,0,63,6,True
100,0.2,0.8,1,1,2,0,64,9,True
100,0.2,0.8,1,1,2,0,65,18,True
100,0.2,0.8,1,1,2,0,66,11,True
100,0.2,0.8,1,1,2,0,67,10,True
100,0.2,0.8,1,1,2,0,68,14,True
100,0.2,0.8,1,1,2,0,69,15,True
100,0.2,0.8,1,1,2,0,70,14,True
100,0.2,0.8,1,1,2,0,71,11,True
100,0.2,0.8,1,1,2,0,72,11,True
100,0.2,0.8,1,1,2,0,73,9,True
100,0.2,0.8,1,1,2,0,74,12,True
100,0.2,0.8,1,1,2,0,75,14,True
