value,count
16,2
17,8
18,35
19,64
20,114
21,183
22,235
23,234
24,272
25,236
26,185
27,137
28,110
29,68
30,41
31,33
32,15
33,6
34,12
35,4
36,1
37,1
38,1
39,1
41,2
