value,count
12,3
13,6
14,26
15,52
16,90
17,134
18,195
19,195
20,212
21,220
22,195
23,175
24,125
25,107
26,97
27,68
28,42
29,31
30,10
31,8
32,2
33,2
37,2
38,1
40,1
42,1
